Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-01-03,US,United States of America,AMRO,0,0,0,0
2020-01-04,US,United States of America,AMRO,0,0,0,0
2020-01-05,US,United States of America,AMRO,0,0,0,0
2020-01-06,US,United States of America,AMRO,0,0,0,0
2020-01-07,US,United States of America,AMRO,0,0,0,0
2020-01-08,US,United States of America,AMRO,0,0,0,0
2020-01-09,US,United States of America,AMRO,0,0,0,0
2020-01-10,US,United States of America,AMRO,0,0,0,0
2020-01-11,US,United States of America,AMRO,0,0,0,0
2020-01-12,US,United States of America,AMRO,0,0,0,0
2020-01-13,US,United States of America,AMRO,0,0,0,0
2020-01-14,US,United States of America,AMRO,0,0,0,0
2020-01-15,US,United States of America,AMRO,0,0,0,0
2020-01-16,US,United States of America,AMRO,0,0,0,0
2020-01-17,US,United States of America,AMRO,0,0,0,0
2020-01-18,US,United States of America,AMRO,0,0,0,0
2020-01-19,US,United States of America,AMRO,0,0,0,0
2020-01-20,US,United States of America,AMRO,5,5,0,0
2020-01-21,US,United States of America,AMRO,0,5,0,0
2020-01-22,US,United States of America,AMRO,0,5,0,0
2020-01-23,US,United States of America,AMRO,0,5,0,0
2020-01-24,US,United States of America,AMRO,1,6,0,0
2020-01-25,US,United States of America,AMRO,0,6,0,0
2020-01-26,US,United States of America,AMRO,3,9,0,0
2020-01-27,US,United States of America,AMRO,0,9,0,0
2020-01-28,US,United States of America,AMRO,0,9,0,0
2020-01-29,US,United States of America,AMRO,0,9,0,0
2020-01-30,US,United States of America,AMRO,1,10,0,0
2020-01-31,US,United States of America,AMRO,1,11,0,0
2020-02-01,US,United States of America,AMRO,1,12,0,0
2020-02-02,US,United States of America,AMRO,0,12,0,0
2020-02-03,US,United States of America,AMRO,2,14,0,0
2020-02-04,US,United States of America,AMRO,1,15,0,0
2020-02-05,US,United States of America,AMRO,0,15,0,0
2020-02-06,US,United States of America,AMRO,1,16,0,0
2020-02-07,US,United States of America,AMRO,0,16,0,0
2020-02-08,US,United States of America,AMRO,0,16,0,0
2020-02-09,US,United States of America,AMRO,0,16,0,0
2020-02-10,US,United States of America,AMRO,0,16,0,0
2020-02-11,US,United States of America,AMRO,1,17,0,0
2020-02-12,US,United States of America,AMRO,0,17,0,0
2020-02-13,US,United States of America,AMRO,1,18,0,0
2020-02-14,US,United States of America,AMRO,1,19,0,0
2020-02-15,US,United States of America,AMRO,0,19,0,0
2020-02-16,US,United States of America,AMRO,0,19,0,0
2020-02-17,US,United States of America,AMRO,0,19,0,0
2020-02-18,US,United States of America,AMRO,0,19,0,0
2020-02-19,US,United States of America,AMRO,0,19,0,0
2020-02-20,US,United States of America,AMRO,0,19,0,0
2020-02-21,US,United States of America,AMRO,19,38,0,0
2020-02-22,US,United States of America,AMRO,1,39,0,0
2020-02-23,US,United States of America,AMRO,0,39,0,0
2020-02-24,US,United States of America,AMRO,18,57,0,0
2020-02-25,US,United States of America,AMRO,0,57,0,0
2020-02-26,US,United States of America,AMRO,6,63,0,0
2020-02-27,US,United States of America,AMRO,0,63,0,0
2020-02-28,US,United States of America,AMRO,3,66,0,0
2020-02-29,US,United States of America,AMRO,0,66,0,0
2020-03-01,US,United States of America,AMRO,0,66,0,0
2020-03-02,US,United States of America,AMRO,2,68,0,0
2020-03-03,US,United States of America,AMRO,0,68,1,1
2020-03-04,US,United States of America,AMRO,65,133,4,5
2020-03-05,US,United States of America,AMRO,0,133,4,9
2020-03-06,US,United States of America,AMRO,84,217,1,10
2020-03-07,US,United States of America,AMRO,0,217,1,11
2020-03-08,US,United States of America,AMRO,0,217,0,11
2020-03-09,US,United States of America,AMRO,259,476,8,19
2020-03-10,US,United States of America,AMRO,224,700,6,25
2020-03-11,US,United States of America,AMRO,0,700,0,25
2020-03-12,US,United States of America,AMRO,291,991,4,29
2020-03-13,US,United States of America,AMRO,277,1268,7,36
2020-03-14,US,United States of America,AMRO,414,1682,5,41
2020-03-15,US,United States of America,AMRO,36,1718,0,41
2020-03-16,US,United States of America,AMRO,0,1718,0,41
2020-03-17,US,United States of America,AMRO,1822,3540,17,58
2020-03-18,US,United States of America,AMRO,820,4360,21,79
2020-03-19,US,United States of America,AMRO,6082,10442,71,150
2020-03-20,US,United States of America,AMRO,4777,15219,51,201
2020-03-21,US,United States of America,AMRO,0,15219,0,201
2020-03-22,US,United States of America,AMRO,0,15219,0,201
2020-03-23,US,United States of America,AMRO,16354,31573,201,402
2020-03-24,US,United States of America,AMRO,10591,42164,69,471
2020-03-25,US,United States of America,AMRO,9750,51914,202,673
2020-03-26,US,United States of America,AMRO,11656,63570,211,884
2020-03-27,US,United States of America,AMRO,4764,68334,107,991
2020-03-28,US,United States of America,AMRO,16894,85228,252,1243
2020-03-29,US,United States of America,AMRO,18093,103321,425,1668
2020-03-30,US,United States of America,AMRO,19332,122653,444,2112
2020-03-31,US,United States of America,AMRO,17987,140640,286,2398
2020-04-01,US,United States of America,AMRO,22559,163199,452,2850
2020-04-02,US,United States of America,AMRO,24103,187302,996,3846
2020-04-03,US,United States of America,AMRO,26298,213600,947,4793
2020-04-04,US,United States of America,AMRO,28103,241703,1061,5854
2020-04-05,US,United States of America,AMRO,32105,273808,1166,7020
2020-04-06,US,United States of America,AMRO,33510,307318,1338,8358
2020-04-07,US,United States of America,AMRO,26493,333811,1201,9559
2020-04-08,US,United States of America,AMRO,29510,363321,1286,10845
2020-04-09,US,United States of America,AMRO,31709,395030,1895,12740
2020-04-10,US,United States of America,AMRO,30859,425889,1925,14665
2020-04-11,US,United States of America,AMRO,35386,461275,1931,16596
2020-04-12,US,United States of America,AMRO,31606,492881,1920,18516
2020-04-13,US,United States of America,AMRO,31633,524514,1928,20444
